,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Ticker_x,Period_End_Date,Issuer,NAICS_Sector_Name,Country_of_Headquarters,Net_Income_Before_Taxes,Net_Income_After_Taxes,Total_Equity,ROE,ROA,"Total_Assets,_Reported",year,contador_x,contador_y,key2_substring_x,Borrower,Bono,Bono_Chile,Note,Ticker_y,dummy_local,dummy_int,dummy_bono,dummy_bono_chile,dummy_note,key2_substring_y,Issuer_x,key2_substring,Issuer_y,issue_count,issued_more_than_once,average_total_assets,decil,dummy_issue,Año,Period,avg_median_roa,tipical_profits,firm_surplus
0,0,0,0,1088,ABC.SN,2023-12-31 00:00:00,ABC SA,Retail Trade,Chile,-57088723.34,-52755738.26,42810026.35,-1.232322023,-0.158108764,333667387.4,2023,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2023,2020-2023,0.026393085,8806511.685,-65895235.03
1,1,1,1,1089,ABC.SN,2022-12-31 00:00:00,ABC SA,Retail Trade,Chile,-58686329.32,-47363768.58,99480121.49,-0.476112894,-0.104848006,451737426.3,2022,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2022,2020-2023,0.026393085,11922744.25,-70609073.57
2,2,2,2,1090,ABC.SN,2021-12-31 00:00:00,ABC SA,Retail Trade,Chile,51704173.42,32350412.41,146957532.6,0.220134428,0.064865575,498730063.4,2021,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2021,2020-2023,0.026393085,13163024.91,38541148.51
3,3,3,3,1091,ABC.SN,2020-12-31 00:00:00,ABC SA,Retail Trade,Chile,-21280298.7,-11344348.01,130323168.7,-0.087047822,-0.021405472,529974193.7,2020,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2020,2020-2023,0.026393085,13987653.89,-35267952.59
68,4,4,4,1092,ABC.SN,2019-12-31 00:00:00,ABC SA,Retail Trade,Chile,-40528421.82,-14163769.79,133624359.3,-0.105996915,-0.023390925,605524154.4,2019,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2019,2017-2019,0.02674038,16191946.12,-56720367.94
69,5,5,5,1093,ABC.SN,2018-12-31 00:00:00,ABC SA,Retail Trade,Chile,-19302304.97,-16220288.66,157531361.8,-0.102965457,-0.032065085,505855151.9,2018,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2018,2017-2019,0.02674038,13526759.09,-32829064.07
70,6,6,6,1094,ABC.SN,2017-12-31 00:00:00,ABC SA,Retail Trade,Chile,-5970864.72,10743995.77,187481008.7,0.057307115,0.01964854,546808870.1,2017,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2017,2017-2019,0.02674038,14621877.09,-20592741.81
119,7,7,7,1095,ABC.SN,2016-12-31 00:00:00,ABC SA,Retail Trade,Chile,4733017.078,3662998.102,163327242.3,0.022427355,0.007415034,493996130.2,2016,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2016,2013-2016,0.038046758,18794951.43,-14061934.36
120,8,8,8,1096,ABC.SN,2015-12-31 00:00:00,ABC SA,Retail Trade,Chile,-15240364.48,-57412860.07,159664629.5,-0.359584087,-0.121620284,472066487.3,2015,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2015,2013-2016,0.038046758,17960599.61,-33200964.09
121,9,9,9,1097,ABC.SN,2014-12-31 00:00:00,ABC SA,Retail Trade,Chile,-72146921.17,-59926967.35,-31591461.08,1.896935605,-0.104763444,572021736.5,2014,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2014,2013-2016,0.038046758,21763572.83,-93910494
122,10,10,10,1098,ABC.SN,2013-12-31 00:00:00,ABC SA,Retail Trade,Chile,-43934593.57,-29313780.7,57048336.19,-0.513841115,-0.03898297,751963754,2013,0,0,ABC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523849577.7,8,0,2013,2013-2016,0.038046758,28609783.3,-72544376.87
561,77,77,77,1959,JD1f.TRE,2023-12-31 00:00:00,Aclara Resources Inc,"Mining, Quarrying, and Oil and Gas Extraction",Chile,-11383000,-11383000,138361000,-0.082270293,-0.077430633,147009000,2023,0,0,JD1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104306400,6,0,2023,2020-2023,-0.003896387,-572803.9109,-10810196.09
562,78,78,78,1960,JD1f.TRE,2022-12-31 00:00:00,Aclara Resources Inc,"Mining, Quarrying, and Oil and Gas Extraction",Chile,-8355000,-8355000,153187000,-0.054541182,-0.053278662,156817000,2022,0,0,JD1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104306400,6,0,2022,2020-2023,-0.003896387,-611019.6716,-7743980.328
563,79,79,79,1961,JD1f.TRE,2021-12-31 00:00:00,Aclara Resources Inc,"Mining, Quarrying, and Oil and Gas Extraction",Chile,-1508000,-1508000,161767000,-0.00932205,-0.009149542,164817000,2021,0,0,JD1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104306400,6,0,2021,2020-2023,-0.003896387,-642190.7651,-865809.2349
564,80,80,80,1962,JD1f.TRE,2020-12-31 00:00:00,Aclara Resources Inc,"Mining, Quarrying, and Oil and Gas Extraction",Chile,-791000,-791000,26040000,-0.030376344,-0.024663258,32072000,2020,0,0,JD1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104306400,6,0,2020,2020-2023,-0.003896387,-124964.9139,-666035.0861
600,81,81,81,1963,JD1f.TRE,2019-12-31 00:00:00,Aclara Resources Inc,"Mining, Quarrying, and Oil and Gas Extraction",Chile,-309000,-312000,19007000,-0.016415005,-0.01498775,20817000,2019,0,0,JD1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104306400,6,0,2019,2017-2019,-0.008556341,-178117.3523,-130882.6477
